sFIdx = 0, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 1, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 2, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 3, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 4, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 5, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 6, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 7, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 8, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 9, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 10, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 11, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 12, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 13, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 14, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 15, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 16, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 17, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 18, lFMinDisIdx = 0, sFMinDisIdx = 18
sFIdx = 19, lFMinDisIdx = 2, sFMinDisIdx = 19
sFIdx = 20, lFMinDisIdx = 1, sFMinDisIdx = 30
sFIdx = 21, lFMinDisIdx = 1, sFMinDisIdx = 30
sFIdx = 22, lFMinDisIdx = 1, sFMinDisIdx = 30
sFIdx = 23, lFMinDisIdx = 1, sFMinDisIdx = 30
sFIdx = 24, lFMinDisIdx = 1, sFMinDisIdx = 30
sFIdx = 25, lFMinDisIdx = 1, sFMinDisIdx = 30
sFIdx = 26, lFMinDisIdx = 1, sFMinDisIdx = 30
sFIdx = 27, lFMinDisIdx = 1, sFMinDisIdx = 30
sFIdx = 28, lFMinDisIdx = 1, sFMinDisIdx = 30
sFIdx = 29, lFMinDisIdx = 1, sFMinDisIdx = 30
sFIdx = 30, lFMinDisIdx = 1, sFMinDisIdx = 30
sFIdx = 31, lFMinDisIdx = 3, sFMinDisIdx = 31
sFIdx = 32, lFMinDisIdx = 5, sFMinDisIdx = 32
sFIdx = 33, lFMinDisIdx = 7, sFMinDisIdx = 33
sFIdx = 34, lFMinDisIdx = 9, sFMinDisIdx = 34
sFIdx = 35, lFMinDisIdx = 11, sFMinDisIdx = 35
sFIdx = 36, lFMinDisIdx = 4, sFMinDisIdx = 17
sFIdx = 37, lFMinDisIdx = 4, sFMinDisIdx = 17
sFIdx = 38, lFMinDisIdx = 13, sFMinDisIdx = 36
sFIdx = 39, lFMinDisIdx = 13, sFMinDisIdx = 36
sFIdx = 40, lFMinDisIdx = 58, sFMinDisIdx = 48
sFIdx = 41, lFMinDisIdx = 58, sFMinDisIdx = 48
sFIdx = 42, lFMinDisIdx = 58, sFMinDisIdx = 48
sFIdx = 43, lFMinDisIdx = 58, sFMinDisIdx = 48
sFIdx = 44, lFMinDisIdx = 58, sFMinDisIdx = 48
sFIdx = 45, lFMinDisIdx = 58, sFMinDisIdx = 48
sFIdx = 46, lFMinDisIdx = 58, sFMinDisIdx = 48
sFIdx = 47, lFMinDisIdx = 58, sFMinDisIdx = 48
sFIdx = 48, lFMinDisIdx = 58, sFMinDisIdx = 48
sFIdx = 49, lFMinDisIdx = 56, sFMinDisIdx = 49
sFIdx = 50, lFMinDisIdx = 59, sFMinDisIdx = 50
sFIdx = 51, lFMinDisIdx = 57, sFMinDisIdx = 51
sFIdx = 52, lFMinDisIdx = 55, sFMinDisIdx = 52
sFIdx = 53, lFMinDisIdx = 53, sFMinDisIdx = 53
sFIdx = 54, lFMinDisIdx = 51, sFMinDisIdx = 54
